Quote,Speaker,Year
"When the House resumes next week the Government will look to progress the Rugby World Cup 2011 (Empowering) Bill, the Governor-General Bill, and other Treaty settlement legislation.",Hon JOHN CARTER,2010
"Regarding the intention of the Government to pursue the Rugby World Cup 2011 (Empowering) Bill, I wonder whether the acting Leader of the House could tell us whether the Government has had a chance to consider the amendments promoted by Mr Mallard to temper some of the sweeping powers available to the Minister for the Rugby World Cup under that legislation, to ensure that the bill can return to being a bipartisan bill, which it has been up until this point. I know that Mr Mallard put those amendments on the Table, and if the Committee stage will take place next week that information would assist the Opposition in its planning as to whether it can cooperate with the Government on that measure.",Hon DARREN HUGHES,2010
"I am afraid I do not know the answer to that. However, the Government is taking these matters seriously. I will find out and see whether I can have the member informed about that.",Hon JOHN CARTER,2010
"Does he stand by his statement that ""it's essential that we reduce New Zealand's vulnerability to future shocks because, as we've seen with the current recession, economic conditions can change extremely quickly""; and, if so, is he confident that all his infrastructure investments reduce our vulnerability to future shocks?",Dr RUSSEL NORMAN,2010
"Yes. The Government is investing billions of dollars into strengthening the national electricity grid, setting out to roll broadband out across the country, plus putting very heavy investments into roading and rail. These will both increase the resilience of our economy and underpin stronger growth in the future.",Hon BILL ENGLISH,2010
How will the $11 billion that his Government is spending on new high-cost motorways do anything to reduce the vulnerability of our economy to oil price shocks?,Dr Russel Norman,2010
"The investment in roads is freeing up congestion and lifting our export productivity. If oil prices rise, then I am sure that people will make their choices about whether to travel more or less, or whether to change their mode of transport. It is our guess that even if oil prices rise, most people still will want to travel by private car.",Hon BILL ENGLISH,2010
What are some of the economic benefits of the Government's programme of infrastructure investment?,Jo Goodhew,2010
"In the long run it will improve the quality of our infrastructure, consistent with a growing economy, and help to lift New Zealand's productivity. In the short term our infrastructure investment is supporting the economy. Eighty percent of the major construction jobs\'97that is, jobs worth over $5 million\'97are being funded by the Government, according to Pacifecon's recent survey of activity, and over half of all non-residential building consents are for Government-related work, which is the highest percentage in 20 years. So the infrastructure investment is also underpinning thousands of jobs.",Hon BILL ENGLISH,2010
"When he says it is his ""guess"" that people will change their behaviour in certain ways during an oil price shock, has the Government done any studies or conducted any research into what the actual impact of an oil price shock would be on transport decision-making?",Dr Russel Norman,2010
"I could go and check whether the Government has done that\'97perhaps the previous Government may well have done, because there was an oil price spike a few years ago. But we can see that the whole transport industry has been thinking that through. For instance, one effect might be an even faster move towards much more fuel-efficient cars or a switch to electricity. Those cars would still require roads to be driven on.",Hon BILL ENGLISH,2010
"T\uc0\u275 n\u257  koe, Mr Speaker. Kia ora t\u257 tou. Does he agree that the country's current measurement of economic progress, GDP, is highly susceptible to these economic shocks, and what will he do to progress the implementation of the genuine progress index, which, as a more holistic measure of economic progress, would be less susceptible to economic shocks?",Te Ururoa Flavell,2010
"The Government accepts that GDP is not a total measure of welfare or even of those things that are desirable for the Government to achieve. That is one reason why, for instance, the Government is now publishing immunisation rates in the newspaper every quarter, to demonstrate to the public the progress that we are making on immunising children. It is also a reason why the Government is introducing national standards as a measure of literacy and numeracy. They are the basic requirements for competent citizenship.",Hon BILL ENGLISH,2010
"In reference to the work that the Government may or may not have done on the impact of oil price shocks, can he confirm that oil price shocks have not been considered in any of the business cases for the roads of national significance?",Dr Russel Norman,2010
"I simply cannot answer that question, but I would be willing to go and find out.",Hon BILL ENGLISH,2010
"In light of the fact that oil price shocks have not been considered in any of the business cases, does he accept that an oil price shock would reduce the benefits in the business cases for building those motorways and would also increase the construction costs\'97so an oil price shock would change the benefit to cost ratio by reducing the benefits and increasing the costs?",Dr Russel Norman,2010
"In some respects, it is fairly obvious that if the prices were different, the business case would look a bit different. But the lesson from past surges in oil prices is that although people may change to more efficient cars or different types of fuel, the private car is likely to remain a vastly dominant form of transport, no matter how much we spend on railways. If the dominant form is not cars, then it is buses, and they still need roads.",Hon BILL ENGLISH,2010
"Does he agree that there are opportunity costs in spending $11 billion on new motorway projects, in that he will have less money available to invest in projects that would give New Zealanders real options, such as better buses and trains, walking, and cycling?",Dr Russel Norman,2010
"Well, there are always opportunity costs in making a particular investment, but the investment in roads assists with what is actually a more efficient mode of public transport than rail, and that is buses. They need basically the same system as cars. The member may be interested to look in detail at some of the cost-benefit analysis on rail, because although he thinks that roads are vulnerable to oil shocks, most rail investment cases do not stack up without a very large public-good element to cover the big difference between the costs and the benefits.",Hon BILL ENGLISH,2010
"In the light of an oil price shock, does he think that the benefit-cost ratio would look better for a new motorway project or a new rail project, and hence, that if he included oil price shocks in the studies of the benefit to cost for these two projects, actually rail would look much better, in the case of an oil price shock, than new motorways?",Dr Russel Norman,2010
"I have not personally done those calculations, but my guess is that we would need to have a very high oil price to make the cost-benefit ratio on rail look better. If the oil price was high, we would have to presume most people would shift to rail, but even if the volumes on rail doubled or trebled, the economics of it are still very marginal.",Hon BILL ENGLISH,2010
"Does he stand by his statement on 18 December 2008, a month after the general election, that ""I want to stress that New Zealand starts from a reasonable position in dealing with the uncertainty of our economic outlook""?",Hon ANNETTE KING,2010
"In respect of the relative level of public debt at the time, yes, I do. But that was really the only economic indicator that was positive. The Government had at the time produced a Budget forecasting rising unemployment, inflation over 5 percent, a decade of deficits, and private debt in New Zealand out of control, as well as a housing bubble and a failing export sector.",Hon BILL ENGLISH,2010
"What did he mean when he also said on 18 December 2008, after the election and after the global financial crisis had hit, that ""In New Zealand we have room to respond. This is the rainy day the Government has been saving up for.""; and did it relate to the previous Government paying off debt, even when criticised by him for doing so?",Hon Annette King,2010
"What I meant was exactly what the statement referred to, and that is that at the time Government debt was relatively low, although I might say that the Government did not actually pay off debt. The economy grew and, relative to the economy, the debt stayed flat. I point out to the member that a headline at the time stated: ""Treasury books a sea of red ink"". That was after the Government's Budget. Another headline stated: ""Economic update shows growth in all the wrong places"". [Interruption] If Labour does not understand what a mess it left the economy in, then it does not understand the economy.",Hon BILL ENGLISH,2010
"I raise a point of order, Mr Speaker. My question was very straight. The answer did not require the nastiness at the end of it about the previous Labour Government.",Hon Annette King,2010
"I listened very carefully to the question, and I listened very carefully to the answer. The member's colleagues interjected very robustly on what the Minister was saying. The Minister was giving a very reasoned answer to the member's question, and the member's colleagues gave a barrage of interjections. The Minister picked up on those interjections and responded, and he is at liberty to do that. I cannot insist that the Minister behave in an exemplary fashion if the member's own colleagues let fly a barrage of interjections. It has to work fairly on both sides.",Mr SPEAKER,2010
"Was the Governor of the Reserve Bank, Alan Bollard, correct when he said in 2008 that New Zealand has ""enjoyed a decade of growth, the longest period of economic growth since post World War II era. Inflation has been low, averaging 2.2 percent since 1998.""; if not, why does he believe that Dr Bollard is correct now when he says that inflation would be around 2 percent in 2012-13?",Hon Annette King,2010
"I disagree with the Governor of the Reserve Bank's assessment of the economy at that time. In fact, inflation was over 5 percent that is a matter of fact the Government's books were heading into the red, the export sector had been shrinking for 5 years, Government spending was out of control, and unemployment was heading up. And that was before the global financial crisis.",Hon BILL ENGLISH,2010
What reports has he seen about the state of the economy in late 2008?,Amy Adams,2010
"I have seen this one from the Press from 7 October 2008. Under the headline: ""Grim numbers"" it talks about a cash deficit of $5.9 billion that financial year, and $30 billion over 4 years; house prices down by 11 percent by March, the consumer price index at 4.5 percent; debt ballooning to 24.5 percent of GDP by 2012; tax revenues down $3.1 billion; and the current account deficit at $14.5 billion\'97which was pretty much close to a record. That is what was said at the time. Treasury books were a sea of red ink\'97grim numbers.",Hon BILL ENGLISH,2010
"Was the Governor of the Reserve Bank correct when he said: ""The international financial crisis actually played little role in the early part of New Zealand's economic recession. Rather, it was drought, falling house prices and higher petrol prices that dragged New Zealand GDP growth negative over the first three quarters of 2008."", and has he put in place policies to control drought, higher petrol prices, and falling house prices; if not, why not?",Hon Annette King,2010
"The Government has put in place policies to ensure that this economy is more resilient and will grow more strongly. That means avoiding the excesses that occurred in this economy from 2005 onwards, when bad policy and mismanagement by the Labour Government meant that our export sector shrank to the point where there were no more jobs in it in 2010 than there were in 2000. That was a disgrace.",Hon BILL ENGLISH,2010
"Was the International Monetary Fund correct when it stated soon after the election of 2008 that ""New Zealand is in a better position than most advanced countries to face the global storm, given its sound macroeconomic policies, including a flexible exchange rate, low level of public debt, flexible labour markets, and a healthy banking sector.""; if so, what has the Government done in the last 18 months to turn our economy into such a mess?",Hon Annette King,2010
"If the member is quoting the International Monetary Fund on those sound macro policies, why is the Labour Party now adopting policies designed to destroy all those sound settings? The Labour Party cannot have it both ways. The fact is that this economy was in recession from the beginning of 2008, it was left in a mess by the previous Government, and we are turning it round.",Hon BILL ENGLISH,2010
"Was the Minister, in making his statement on 18 December 2008, concerned at the huge surge in public spending, from 29 percent of GDP to 34.7 percent of GDP, that occurred between 2004 and 2008 as the Labour Government abandoned all fiscal restraint; if so, what measures are being taken to wind back spending?",Hon Sir Roger Douglas,2010
"Yes, we were concerned about that. The primary action the Government has taken is that it has reprioritised $4 billion of that spending from the excessive back-office bureaucracy to effective front-line services, and it has put in place an annual limit of $1.1 billion of new spending. That is bringing much more fiscal discipline and much better stewardship of taxpayers' money to the Government sector.",Hon BILL ENGLISH,2010
