Quote,Speaker,Year
"Here they go again! More money from less! That is good. Yes, I did not get more than an extra $68,000 for animal welfare. What I did get was $700 million for an agricultural research and development project. The member says what about the $68,000, and forgets about the $700 million. It is a bit like the biblical quote about seeing the splinter in somebody else’s eye but ignoring the beam in one’s own! In addition, we gave the Royal New Zealand Society for the Prevention of Cruelty to Animals (SPCA) $300,000. We got $23.3 million in the Budget for a National Animal Identification and Tracing system, which will protect our agricultural sector from being blocked out of important markets all around the world. I am sorry that we got only $700 million, plus $23 million, plus $300,000, and missed out in getting only an extra $68,000 for animal welfare! I think it very unlikely that Mr Carter will ever get anywhere near the Cabinet table again, because even his own colleagues must be underwhelmed by the kind of question he asks in this House.",Hon JIM ANDERTON,2008
"ack to welfare! Following the serious drought of last summer and the Ministry of Agriculture and Forestry’s saying in this week’s New Zealand Farmers Weekly that some livestock are currently “heading towards starvation”, what responsibility does the Minister take for the massive under-resourcing of a core role of his ministry?",Hon David Carter,2008
"So despite all the extra funding and this Government’s so-called commitment to health, we still have patients who are being turned away at Waitakere Hospital, and how does she expect the hospital to fulfil its goal of providing a 24/7 service when currently it cannot even stay open between 8 a.m. and 10 p.m.?",Paula Bennett,2008
"I say to the Minister in the chair that he owes an apology to the people of M_pua for the botched clean-up. The Minister owes an explanation as to why the advice of the local council, the local authority, was ignored when it advised that the consent conditions should be complied with. They need to provide an explanation as to why more than 5 tonnes of copper sulphate, without a consent, was used in the clean-up process. An explanation needs to be provided to the local residents who wrote to the Minister and said they were getting sick. There were doctors’ reports of people getting sick, and the ministry ignored them. I say that M_pua is another sad chapter in the environmental failure record of this Government.",Hon Dr NICK SMITH,2008
"If there is one person who should be apologising for the M_pua clean-up, it is the former member for Tasman, Nick Smith. He is the person who put inordinate pressure on the local council to get it moving. He is the person who put inordinate pressure on it to set up a scheme with conditions.",Hon TREVOR MALLARD,2008
"I have to say that when the Employment Relations (Probationary Employment) Amendment Bill was introduced, Mr Little debated the issue quite responsibly, and was quite considered and deliberate. But now that we are much closer to an election, and his union has been registered as supporting Labour—that is why it has been registered; for being an affiliate of the Labour Party—panic has set in. Extravagant language is being used by him.",Dr WAYNE MAPP,2008
"We now know the words that Crosby/Textor has given to the National Party to use for its industrial relations policy—“fair and reasonable”. How many times did Dr Mapp feel forced to say those words in that 5-minute speech—that tirade about how terrible things are in industrial relations here in New Zealand. Well, look—all New Zealanders know, I tell Dr Mapp, that peace has broken out in industrial relations in New Zealand under Labour. Not only have we had the most peaceful workplaces we have had for a long time in this country under Labour, and the fairest workplaces we have had for a long time, but we have also managed to bring the unemployment rate down to the second lowest in the OECD. ",SUE MORONEY,2008
" am delighted to have the opportunity to take a call on the community and voluntary sector part of this debate, because it is an opportunity to pay tribute to the 75 percent of New Zealanders who say that they volunteer in our communities in one way or another. There are 97,000 community organisations operating in New Zealand. If it were an Olympics, we would win gold medals for setting up and operating community organisations—97,000 of those organisations, run entirely by volunteers. That is a huge commitment from New Zealand citizens to supporting their community in one way or another, and I do not think it is something this Committee should take for granted. I think it is something we should respect and value, and we should ensure that our central government policies work alongside those people in our community who give so much of their time, their energy, and, often, their money—either through lost opportunity or through direct giving. This debate is a very good opportunity to pay that respect.",Hon RUTH DYSON ,2008
"I guess Dr Smith must be a doctor of philosophy, not a doctor of medicine; otherwise he would not be making such a fool of himself.",Hon DAVID CUNLIFFE,2008
"This is the most vulnerable time in these women’s lives. Can members imagine being diagnosed with the most aggressive form of breast cancer and being told that 12 months of treatment is the better course, but they can be given only 9 weeks? They want to live—boy, do they want to live. ",Dr JACKIE BLUE,2008
"The member is getting desperate now. He simply cannot have it both ways. Either the Government has failed to invest or we have invested too much, depending on which day of the week one takes his questions. He is arguing from both sides of that street. The Government has roughly doubled the investment in public health care. It has built a record number of new facilities. It has invested in the health workforce. It has developed a primary-care strategy, and it has upgraded technologies throughout the system. There is a systematic upgrade occurring of New Zealand’s public health care, and the member knows New Zealanders have better, more affordable, more accessible health care as a result of it.",Hon DAVID CUNLIFFE,2008
"Does the Government have any longer-term strategies in Auckland to ensure that there are more spaces available in quality rehabilitation units—at the moment there is only one—and that there is sufficient step-down accommodation, community support, and accommodation services for patients such as the gentleman who was recently released in these circumstances?",Sue Bradford,2008
"In light of the fact that oil price shocks have not been considered in any of the business cases, does he accept that an oil price shock would reduce the benefits in the business cases for building those motorways and would also increase the construction costs\'97so an oil price shock would change the benefit to cost ratio by reducing the benefits and increasing the costs?",Dr Russel Norman,2010
"In some respects, it is fairly obvious that if the prices were different, the business case would look a bit different. But the lesson from past surges in oil prices is that although people may change to more efficient cars or different types of fuel, the private car is likely to remain a vastly dominant form of transport, no matter how much we spend on railways. If the dominant form is not cars, then it is buses, and they still need roads.",Hon BILL ENGLISH,2010
"In the light of an oil price shock, does he think that the benefit-cost ratio would look better for a new motorway project or a new rail project, and hence, that if he included oil price shocks in the studies of the benefit to cost for these two projects, actually rail would look much better, in the case of an oil price shock, than new motorways?",Dr Russel Norman,2010
"I have not personally done those calculations, but my guess is that we would need to have a very high oil price to make the cost-benefit ratio on rail look better. If the oil price was high, we would have to presume most people would shift to rail, but even if the volumes on rail doubled or trebled, the economics of it are still very marginal.",Hon BILL ENGLISH,2010
"What did he mean when he also said on 18 December 2008, after the election and after the global financial crisis had hit, that ""In New Zealand we have room to respond. This is the rainy day the Government has been saving up for.""; and did it relate to the previous Government paying off debt, even when criticised by him for doing so?",Hon Annette King,2010
"Was the Governor of the Reserve Bank, Alan Bollard, correct when he said in 2008 that New Zealand has ""enjoyed a decade of growth, the longest period of economic growth since post World War II era. Inflation has been low, averaging 2.2 percent since 1998.""; if not, why does he believe that Dr Bollard is correct now when he says that inflation would be around 2 percent in 2012-13?",Hon Annette King,2010
"Yes. The Government is investing billions of dollars into strengthening the national electricity grid, setting out to roll broadband out across the country, plus putting very heavy investments into roading and rail. These will both increase the resilience of our economy and underpin stronger growth in the future.",Hon BILL ENGLISH,2010
"Regarding the intention of the Government to pursue the Rugby World Cup 2011 (Empowering) Bill, I wonder whether the acting Leader of the House could tell us whether the Government has had a chance to consider the amendments promoted by Mr Mallard to temper some of the sweeping powers available to the Minister for the Rugby World Cup under that legislation, to ensure that the bill can return to being a bipartisan bill, which it has been up until this point. I know that Mr Mallard put those amendments on the Table, and if the Committee stage will take place next week that information would assist the Opposition in its planning as to whether it can cooperate with the Government on that measure.",Hon DARREN HUGHES,2010
"Was the Minister, in making his statement on 18 December 2008, concerned at the huge surge in public spending, from 29 percent of GDP to 34.7 percent of GDP, that occurred between 2004 and 2008 as the Labour Government abandoned all fiscal restraint; if so, what measures are being taken to wind back spending?",Hon Sir Roger Douglas,2010
Has the Government estimated the cost to the taxpayer of the interest rate premium the Government is paying as a result of the Minister's loss of credibility as Minister of Finance because of his housing scandal?,Hon Trevor Mallard,2010
"T\uc0\u275 n\u257  koe, Mr Speaker. Kia ora t\u257 tou. Does he agree that the country's current measurement of economic progress, GDP, is highly susceptible to these economic shocks, and what will he do to progress the implementation of the genuine progress index, which, as a more holistic measure of economic progress, would be less susceptible to economic shocks?",Te Ururoa Flavell,2010
"behalf of the Minister of Finance: No, I do not agree with that. The Meridian Energy float is, in fact, by value the largest retail investment in an internal public offering in New Zealand’s history. The 62,000 shareholders mean that Meridian Energy will have the third-largest share register of all the companies on the NZX when it lists next week. The share float will provide $1.9 billion in cash for the Government, which we can invest in other public assets without having to borrow. It will be 86.5 percent New Zealand - owned when it lists, comfortably meeting the Government’s target of 85 percent local ownership. And, finally, the 250,000 figure that the member quotes was not a forecast.",Hon STEVEN JOYCE,2013
"Will he now accept that his asset sales programme has failed to achieve his goal of widespread public ownership, when only 1 percent of New Zealanders bought into Meridian Energy and the other 99 percent of New Zealanders did not, because they are finding it hard enough to pay the power bill let alone buy a power company?",Dr RUSSEL NORMAN,2013
"What impact does he expect loan-to-value ratios to have on the Government’s housing policy, which claims to be focused on trying to increase supply, if, as Warwick Quinn of the Registered Master Builders Federation predicts, they result in 3,000 fewer new homes being built each year?",Phil Twyford,2013
"hat is a difficult statement to reconcile with a statement made by the Registered Master Builders Federation to the Minister’s colleague the Minister for Tertiary Education, Skills and Employment at around the same time, when it said it was worried there would not be enough apprentices and enough people with skills to actually build all the houses. So I think we need to rationalise where we are at here: either there are not enough people around to build all the houses or there are not enough houses going to be built. I am sure we will resolve that situation",Hon STEVEN JOYCE,2013
